outcome,repr,learner,mean,sd,vs_late
cv_first,raw74,l2,0.7973813936249072,0.015012036780208541,-0.009977761304670318
cv_first,raw74,plain,0.6870088954781319,0.0482158085379339,-0.12035025945144562
cv_first,raw74,ridge_var,0.7973813936249072,0.015012036780208541,-0.009977761304670318
cv_first,raw74,gb,0.7770014825796887,0.014180438292045279,-0.030357672349888842
cv_first,raw74,rf,0.7978984432913269,0.013862249231846297,-0.009460711638250685
cv_first,raw74,catboost,0.7931449221645664,0.02259032474089814,-0.014214232765011103
cv_first,pca8,l2,0.7502816901408451,0.011006597244714736,-0.057077464788732435
cv_first,pca8,plain,0.7464733135656042,0.0126348346537731,-0.06088584136397335
cv_first,pca8,ridge_var,0.746254633061527,0.010838717261336731,-0.0611045218680506
cv_first,pca8,gb,0.716009080800593,0.021105268278980346,-0.09135007412898455
cv_first,pca8,rf,0.7355893254262418,0.013401353548870334,-0.07176982950333577
cv_first,pca8,catboost,0.7081819866567828,0.010315956526893407,-0.09917716827279477
cv_first,spca,l2,0.7704985174203114,0.011155791448171705,-0.03686063750926616
cv_first,spca,plain,0.774560785767235,0.010099459060712385,-0.03279836916234258
cv_first,spca,ridge_var,0.7769866567828021,0.011329961515665484,-0.03037249814677545
cv_first,spca,gb,0.7481402891030393,0.01537880294211814,-0.059218865826538236
cv_first,spca,rf,0.7642828020756116,0.017789139866273316,-0.04307635285396594
cv_first,spca,catboost,0.7658654558932543,0.018179052352339183,-0.04149369903632327
cv_first,lol8,l2,0.7787490733876947,0.012239711348120002,-0.028610081541882826
cv_first,lol8,plain,0.7677483320978502,0.017479083625024778,-0.039610822831727344
cv_first,lol8,ridge_var,0.7787490733876947,0.012239711348120002,-0.028610081541882826
cv_first,lol8,gb,0.777196071163825,0.010942751901285408,-0.030163083765752496
cv_first,lol8,rf,0.7904336545589326,0.008414136190830649,-0.016925500370644997
cv_first,lol8,catboost,0.7749629355077836,0.011396363269256797,-0.03239621942179394
cv_first,cca,l2,0.7901111934766494,0.011741548001798632,-0.017247961452928173
