outcome,threshold,nb_model,nb_treat_all,nb_treat_none,prevalence
cv_first,0.32,0.0010637878728182496,-0.395729088688389,0.0,0.050904219691895514
cv_first,0.33,0.0006797892653277482,-0.41656086613149934,0.0,0.050904219691895514
cv_first,0.34,0.0009945401773934928,-0.4380239095577342,0.0,0.050904219691895514
cv_first,0.35000000000000003,0.0006697923643670462,-0.46014735432016085,0.0,0.050904219691895514
cv_first,0.36000000000000004,0.0006697923643670462,-0.4829621567314134,0.0,0.050904219691895514
cv_first,0.37,0.0,-0.5065012385842929,0.0,0.050904219691895514
cv_first,0.38,0.0,-0.530799645658233,0.0,0.050904219691895514
cv_first,0.39,0.0,-0.5558947218165647,0.0,0.050904219691895514
cv_first,0.4,0.0,-0.5818263005135076,0.0,0.050904219691895514
cv_first,0.41000000000000003,0.0,-0.6086369157764483,0.0,0.050904219691895514
cv_first,0.42000000000000004,0.0,-0.6363720350139733,0.0,0.050904219691895514
cv_first,0.43,0.0,-0.6650803163300077,0.0,0.050904219691895514
cv_first,0.44,0.0,-0.6948138934073295,0.0,0.050904219691895514
cv_first,0.45,0.0,-0.7256286914692808,0.0,0.050904219691895514
cv_first,0.46,0.0,-0.7575847783483417,0.0,0.050904219691895514
cv_first,0.47000000000000003,0.0,-0.7907467552983104,0.0,0.050904219691895514
cv_first,0.48000000000000004,0.0,-0.825184192900201,0.0,0.050904219691895514
cv_first,0.49,0.0,-0.8609721182511851,0.0,0.050904219691895514
cv_first,0.5,0.0,-0.898191560616209,0.0,0.050904219691895514
