outcome,test,mode,learner,reg,k,mean,sd,lo,hi,vs_late,sig
composite_30d,ablation,ccaaug_shuf,catboost,0.1,10.0,0.8504267155444081,0.004664294217343099,0.8450414817673163,0.8605794584860762,0.0055291337063477775,
composite_30d,ablation,ccaaug_shuf,l2,0.1,10.0,0.8332227152871567,0.007849635483775886,0.8237057045469162,0.8490417390185864,-0.011674866550903551,
composite_30d,boot,ccaaug,rf,0.1,10.0,0.007945927444318844,,-0.003537854105937843,0.019326257701595004,0.007945927444318844,0.0
composite_30d,boot,ccaaug,gb,0.1,10.0,0.004771743091153346,,-0.010476165915441227,0.019201552764024098,0.004771743091153346,0.0
composite_30d,grid,ccaaug,rf,0.01,2.0,0.8532291465689111,0.003656748138600743,0.8475368190880442,0.857514952730079,0.008331564730850838,
composite_30d,grid,ccaaug,rf,0.1,2.0,0.8538324007974788,0.0023163535986667066,0.8512444530194867,0.8569811563444595,0.0089348189594185,
composite_30d,grid,ccaaug,rf,0.5,2.0,0.8528509872017492,0.0015524480072270307,0.8505145025403562,0.8546691105537333,0.007953405363688937,
composite_30d,grid,ccaaug,rf,0.01,5.0,0.8555546980513216,0.0029274737839761443,0.8531963470319633,0.8588590906167599,0.010657116213261264,
composite_30d,grid,ccaaug,rf,0.1,5.0,0.857091774390636,0.0019952327398279736,0.8547173451668917,0.8594797093060647,0.0121941925525757,
composite_30d,grid,ccaaug,rf,0.5,5.0,0.8564222779599973,0.0012892422253843105,0.8548105987523312,0.8581259244967522,0.011524696121936961,
composite_30d,grid,ccaaug,rf,0.01,10.0,0.8577760627693098,0.003719792850635426,0.8537172808540743,0.8621293973888995,0.012878480931249547,
composite_30d,grid,ccaaug,rf,0.1,10.0,0.8567245482024568,0.0031793057777721265,0.8536561836774069,0.8601742877355456,0.011826966364396507,
composite_30d,grid,ccaaug,rf,0.5,10.0,0.8563791883722427,0.0012390619990071431,0.8547527172165412,0.8577143224644671,0.011481606534182398,
composite_30d,grid,ccaaug,rf,0.01,20.0,0.8559572962891504,0.0036640598774534796,0.852154479387742,0.8601807190173001,0.011059714451090108,
composite_30d,grid,ccaaug,rf,0.1,20.0,0.8553289600617404,0.0021802192174929665,0.8528522734581002,0.8578140073316611,0.010431378223680121,
composite_30d,grid,ccaaug,rf,0.5,20.0,0.8543218213389927,0.00045877853910688404,0.8535532831693357,0.8547302077304006,0.009424239500932408,
cv_first,ref,late,l2,,,0.8063676797627872,0.008036093024206608,0.787981838398814,0.8176380652335062,0.0,
cv_first,ablation,raw,rf,0.1,10.0,0.7968161601186063,0.010868379121910458,0.7817272053372869,0.8108598962194218,-0.009551519644180884,
cv_first,ablation,raw,gb,0.1,10.0,0.7748758339510748,0.01335533930208331,0.7585340993328391,0.7978409933283914,-0.03149184581171238,
cv_first,ablation,raw,catboost,0.1,10.0,0.7901704966641957,0.017024844013164266,0.7637601927353596,0.8160952557449963,-0.016197183098591528,
cv_first,ablation,raw,l2,0.1,10.0,0.7904948109710898,0.01473465584342144,0.7691160118606376,0.8148072646404744,-0.01587286879169747,
