outcome,sparse_k,measure,temp,amp,mean,sd,vs_pool,spread
death_30d_inhosp,5.0,tcp,10.0,0.25,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.10489090597300452
death_30d_inhosp,5.0,tcp,20.0,0.0,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.10489090597300452
death_30d_inhosp,5.0,tcp,20.0,0.1,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.10489090597300452
death_30d_inhosp,5.0,tcp,20.0,0.25,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.10489090597300452
death_30d_inhosp,5.0,tcp,-1.0,0.0,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.10489090597300452
death_30d_inhosp,5.0,tcp,-1.0,0.1,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.10489090597300452
death_30d_inhosp,5.0,tcp,-1.0,0.25,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.10489090597300452
death_30d_inhosp,5.0,err,1.0,0.0,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.1048909624781503
death_30d_inhosp,5.0,err,1.0,0.1,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.1048909624781503
death_30d_inhosp,5.0,err,1.0,0.25,0.9065035415325177,0.0036480999068618106,0.002703541532517617,0.1048909624781503
death_30d_inhosp,5.0,err,2.0,0.0,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.1048909624781503
death_30d_inhosp,5.0,err,2.0,0.1,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.1048909624781503
death_30d_inhosp,5.0,err,2.0,0.25,0.9067580043289707,0.003891566874720033,0.0029580043289706426,0.1048909624781503
death_30d_inhosp,5.0,err,5.0,0.0,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.1048909624781503
death_30d_inhosp,5.0,err,5.0,0.1,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.1048909624781503
death_30d_inhosp,5.0,err,5.0,0.25,0.9020566490042592,0.004769245107969303,-0.0017433509957408555,0.1048909624781503
death_30d_inhosp,5.0,err,10.0,0.0,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.1048909624781503
death_30d_inhosp,5.0,err,10.0,0.1,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.1048909624781503
death_30d_inhosp,5.0,err,10.0,0.25,0.8868338776871815,0.0051265581366904045,-0.016966122312818577,0.1048909624781503
death_30d_inhosp,5.0,err,20.0,0.0,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.1048909624781503
death_30d_inhosp,5.0,err,20.0,0.1,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.1048909624781503
death_30d_inhosp,5.0,err,20.0,0.25,0.8790200079131724,0.004939065143475766,-0.024779992086827685,0.1048909624781503
death_30d_inhosp,5.0,err,-1.0,0.0,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.1048909624781503
death_30d_inhosp,5.0,err,-1.0,0.1,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.1048909624781503
death_30d_inhosp,5.0,err,-1.0,0.25,0.5757779346620222,0.013677054787044129,-0.32802206533797784,0.1048909624781503
death_30d_inhosp,5.0,tertile,1.0,0.0,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,5.0,tertile,1.0,0.1,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,5.0,tertile,1.0,0.25,0.9066509437621704,0.003650066776195731,0.0028509437621703215,0.07927594271897545
death_30d_inhosp,5.0,tertile,2.0,0.0,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,5.0,tertile,2.0,0.1,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,5.0,tertile,2.0,0.25,0.9069953994988325,0.0039391240480064985,0.0031953994988324075,0.07927594271897545
death_30d_inhosp,5.0,tertile,5.0,0.0,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,5.0,tertile,5.0,0.1,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,5.0,tertile,5.0,0.25,0.9015834102669531,0.006037354590531493,-0.0022165897330469475,0.07927594271897545
death_30d_inhosp,5.0,tertile,10.0,0.0,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,5.0,tertile,10.0,0.1,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,5.0,tertile,10.0,0.25,0.8884708182375348,0.0097697817021636,-0.015329181762465227,0.07927594271897545
death_30d_inhosp,5.0,tertile,20.0,0.0,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
death_30d_inhosp,5.0,tertile,20.0,0.1,0.8836189574783356,0.010053298023176309,-0.020181042521664416,0.07927594271897545
