direction,outcome,arch,decile,pred,obs,n
I2M,composite_30d,early:blockstd,4,0.09242918675113083,0.05454545454545454,165
I2M,composite_30d,early:blockstd,5,0.1090967600368568,0.07926829268292683,164
I2M,composite_30d,early:blockstd,6,0.13037161292962562,0.1393939393939394,165
I2M,composite_30d,early:blockstd,7,0.16423030538561165,0.19393939393939394,165
I2M,composite_30d,early:blockstd,8,0.2203810650387952,0.3393939393939394,165
I2M,composite_30d,early:blockstd,9,0.3652021862570045,0.46060606060606063,165
I2M,composite_30d,inter:plain,0,3.951868711737916e-05,0.030303030303030304,165
I2M,composite_30d,inter:plain,1,0.00026181383873336017,0.03636363636363636,165
I2M,composite_30d,inter:plain,2,0.0008427821449004114,0.01818181818181818,165
I2M,composite_30d,inter:plain,3,0.0022755484096705914,0.01818181818181818,165
I2M,composite_30d,inter:plain,4,0.00559831690043211,0.06060606060606061,165
I2M,composite_30d,inter:plain,5,0.015058494172990322,0.036585365853658534,164
I2M,composite_30d,inter:plain,6,0.05047391727566719,0.17575757575757575,165
I2M,composite_30d,inter:plain,7,0.20951402187347412,0.20606060606060606,165
I2M,composite_30d,inter:plain,8,0.5830923318862915,0.3515151515151515,165
I2M,composite_30d,inter:plain,9,0.8521789312362671,0.3939393939393939,165
I2M,composite_30d,late:mean,0,0.12367091166363452,0.012121212121212121,165
I2M,composite_30d,late:mean,1,0.23122829262914163,0.012121212121212121,165
I2M,composite_30d,late:mean,2,0.3113585827958175,0.01818181818181818,165
I2M,composite_30d,late:mean,3,0.3866300972122682,0.05454545454545454,165
I2M,composite_30d,late:mean,4,0.4538397927118364,0.09090909090909091,165
I2M,composite_30d,late:mean,5,0.5270701755683415,0.042682926829268296,164
I2M,composite_30d,late:mean,6,0.5993586563022585,0.09696969696969697,165
I2M,composite_30d,late:mean,7,0.6862386754139331,0.22424242424242424,165
I2M,composite_30d,late:mean,8,0.7777992171564034,0.3333333333333333,165
I2M,composite_30d,late:mean,9,0.9059999632467794,0.44242424242424244,165
I2M,composite_30d,late:wsrc,0,0.1171031111601154,0.006060606060606061,165
I2M,composite_30d,late:wsrc,1,0.21228641784736388,0.01818181818181818,165
I2M,composite_30d,late:wsrc,2,0.29491004649282393,0.006060606060606061,165
I2M,composite_30d,late:wsrc,3,0.3753486961795027,0.024242424242424242,165
I2M,composite_30d,late:wsrc,4,0.4554466435121377,0.07878787878787878,165
I2M,composite_30d,late:wsrc,5,0.5343685751896937,0.09146341463414634,164
I2M,composite_30d,late:wsrc,6,0.6127469357002407,0.10303030303030303,165
I2M,composite_30d,late:wsrc,7,0.6991151662164397,0.2,165
I2M,composite_30d,late:wsrc,8,0.7936953525552678,0.34545454545454546,165
I2M,composite_30d,late:wsrc,9,0.9082176525718065,0.45454545454545453,165
I2M,cv_first,uni:ehr_only,0,0.050464807436918994,0.019867549668874173,151
I2M,cv_first,uni:ehr_only,1,0.150730411686587,0.006622516556291391,151
I2M,cv_first,uni:ehr_only,2,0.25066401062417,0.006666666666666667,150
I2M,cv_first,uni:ehr_only,3,0.350597609561753,0.013245033112582781,151
I2M,cv_first,uni:ehr_only,4,0.450531208499336,0.006666666666666667,150
I2M,cv_first,uni:ehr_only,5,0.5504648074369191,0.026490066225165563,151
I2M,cv_first,uni:ehr_only,6,0.650398406374502,0.05333333333333334,150
I2M,cv_first,uni:ehr_only,7,0.750332005312085,0.046357615894039736,151
I2M,cv_first,uni:ehr_only,8,0.850265604249668,0.12666666666666668,150
I2M,cv_first,uni:ehr_only,9,0.950199203187251,0.1986754966887417,151
I2M,cv_first,early:plain,0,0.011157447252317017,0.019867549668874173,151
I2M,cv_first,early:plain,1,0.016206559881734407,0.006622516556291391,151
I2M,cv_first,early:plain,2,0.019947585334913268,0.006666666666666667,150
I2M,cv_first,early:plain,3,0.023847928780891772,0.006622516556291391,151
I2M,cv_first,early:plain,4,0.029020734992698194,0.02,150
I2M,cv_first,early:plain,5,0.035843168951681825,0.013245033112582781,151
I2M,cv_first,early:plain,6,0.046960798969702545,0.03333333333333333,150
I2M,cv_first,early:plain,7,0.06590937798592891,0.0728476821192053,151
I2M,cv_first,early:plain,8,0.11048515396835706,0.11333333333333333,150
I2M,cv_first,early:plain,9,0.29257866096159607,0.2119205298013245,151
I2M,cv_first,early:blockstd,0,0.03201174032087206,0.006622516556291391,151
I2M,cv_first,early:blockstd,1,0.03878154317347936,0.013245033112582781,151
I2M,cv_first,early:blockstd,2,0.0432672313676944,0.006666666666666667,150
I2M,cv_first,early:blockstd,3,0.04811413688450915,0.019867549668874173,151
I2M,cv_first,early:blockstd,4,0.05406837313908485,0.02,150
I2M,cv_first,early:blockstd,5,0.06133562753130604,0.0,151
I2M,cv_first,early:blockstd,6,0.07179016623730317,0.04666666666666667,150
I2M,cv_first,early:blockstd,7,0.08748054863953388,0.06622516556291391,151
I2M,cv_first,early:blockstd,8,0.11882172971882068,0.10666666666666667,150
