outcome,a,b,spearman,err_corr,disagree,yule_q,kappa,joint_miss,auc_a,auc_b,gap
cv_first,ctpa,early,0.3596943578058328,0.5372868223230902,0.3710649698593436,0.4819863943739993,0.2565262334720588,0.10526315789473684,0.6163008084785004,0.7177630031323897,0.10146219465388928
cv_first,ctpa,pca10,0.48246764778943085,0.6186817392204024,0.33489618218352313,0.5944938417109723,0.3285022677103592,0.10526315789473684,0.6163008084785004,0.755175252881675,0.13887444440317454
cv_first,ctpa,inter,0.32708948815581224,0.5182313027726849,0.40991292699263226,0.3469342189723982,0.1787649243402013,0.10526315789473684,0.6163008084785004,0.6998384281097946,0.08353761963129414
cv_first,ctpa,late,0.3149531382687645,0.48536469565217416,0.39919624916275953,0.3849903516854128,0.19928083319685486,0.05263157894736842,0.6163008084785004,0.8064851613861754,0.190184352907675
cv_first,early,pca10,0.5304542062238601,0.6386661656314054,0.3134628265237776,0.6528505960164016,0.3705983029167492,0.06578947368421052,0.7177630031323897,0.755175252881675,0.037412249749285253
cv_first,early,inter,0.4199875374788084,0.5678238809692516,0.34695244474212994,0.5575985807277068,0.304245737079893,0.11842105263157894,0.7177630031323897,0.6998384281097946,0.017924575022595146
cv_first,early,late,0.6745609015754261,0.7450077253629492,0.27059611520428667,0.7568821601970773,0.456360837416224,0.06578947368421052,0.7177630031323897,0.8064851613861754,0.08872215825378571
cv_first,pca10,inter,0.4997537236426335,0.6191718648047966,0.3014065639651708,0.6844392278300827,0.3949270598237331,0.05263157894736842,0.755175252881675,0.6998384281097946,0.0553368247718804
cv_first,pca10,late,0.7687095509274865,0.8141273886987389,0.1982585398526457,0.8837445226397557,0.600959298440779,0.039473684210526314,0.755175252881675,0.8064851613861754,0.05130990850450046
cv_first,inter,late,0.6616838047685037,0.7380444795716371,0.2478231748158071,0.8035918197861518,0.5022266035420208,0.039473684210526314,0.6998384281097946,0.8064851613861754,0.10664673327638086
