direction,outcome,arch,n,ev,auc,ap,ehr_ref,gain,lo,hi,pgt
M2M,death_30d,late:mean,1649,152,0.8678563266884647,0.3964157835191897,0.8724796083394859,-0.0046210430541928915,-0.02742672703466819,0.01886795158957955,0.3375
M2M,death_30d,late:wsrc,1649,152,0.8841718524768836,0.4259596403865531,0.8724796083394859,0.011690726314254992,-0.0004279856107859496,0.024745243934010668,0.9675
M2M,death_30d,uni:ehr_only,1649,152,0.8724796083394859,0.4243551123958376,0.8724796083394859,0.0,0.0,0.0,0.5
M2M,death_30d,uni:ctpa_only,1649,152,0.758237967162395,0.2466340621100986,0.8724796083394859,-0.1141474968697943,-0.15913275583226624,-0.06980467994025984,0.0
M2M,composite_30d,early:plain,1649,219,0.8227927323817734,0.3995553056340701,0.834744707347447,-0.012064561796482213,-0.027786279170623252,0.003146094369725222,0.068
M2M,composite_30d,early:blockstd,1649,219,0.8389117731583485,0.4105127140679197,0.834744707347447,0.0038566265815294033,-0.00898249638972207,0.01627780220072505,0.7105
M2M,composite_30d,early:pca,1649,219,0.8264073825717662,0.3993240574783217,0.834744707347447,-0.008405594507126838,-0.023448327824645145,0.006025195948551045,0.135
M2M,composite_30d,inter:plain,1649,219,0.8198869623527157,0.38016852637978715,0.834744707347447,-0.015141606673026817,-0.038271095933586914,0.006089802450809268,0.0875
M2M,composite_30d,inter:gated,1649,219,0.8155793977711785,0.38428640834382033,0.834744707347447,-0.019479910149654257,-0.04406698872561972,0.003535134043533018,0.0525
M2M,composite_30d,inter:moddrop,1649,219,0.8291854264457004,0.39691332565772963,0.834744707347447,-0.0059276733310313435,-0.02866122059761928,0.015402879453961604,0.304
M2M,composite_30d,inter:lowrank,1649,219,0.8073985375355237,0.3447104271079516,0.834744707347447,-0.027773025750331217,-0.0490597230561592,-0.006815521404671061,0.006
M2M,composite_30d,inter:bilinear,1649,219,0.8105948845674873,0.38272588389454526,0.834744707347447,-0.024609304562350717,-0.045588715437278785,-0.0033630505759862338,0.013
M2M,composite_30d,inter:tucker,1649,219,0.8106395887217804,0.37160802807426824,0.834744707347447,-0.024336603239844927,-0.046363023920997615,-0.004087445855823159,0.007
M2M,composite_30d,inter:crossattn,1649,219,0.81556023884791,0.3716797048724205,0.834744707347447,-0.019419960708334415,-0.04356600338118761,0.002707613618637492,0.044
M2M,composite_30d,late:mean,1649,219,0.8164734808570425,0.3900682108967419,0.834744707347447,-0.018560609390099226,-0.03817491461616366,0.0010624292234942005,0.03
M2M,composite_30d,late:wsrc,1649,219,0.8379634064565571,0.4175692525621613,0.834744707347447,0.0030681552062363695,-0.007727902761907234,0.014130292820811123,0.6995
